iter	Passed	Remaining
0	231	46132
1	251	24902
2	266	17508
3	273	13403
4	280	10940
5	287	9291
6	294	8127
7	300	7223
8	307	6525
9	315	5994
10	321	5526
11	327	5137
12	334	4811
13	342	4548
14	352	4343
15	359	4137
16	366	3940
17	376	3805
18	386	3686
19	399	3592
20	412	3513
21	423	3427
22	432	3331
23	443	3252
24	449	3149
25	460	3084
26	470	3013
27	478	2939
28	487	2875
29	494	2801
30	501	2735
31	508	2668
32	514	2604
33	520	2542
34	526	2483
35	533	2432
36	540	2379
37	546	2330
38	552	2282
39	559	2239
40	566	2195
41	579	2180
42	589	2151
43	599	2123
44	612	2110
45	619	2073
46	628	2046
47	634	2010
48	642	1979
49	648	1946
50	655	1914
51	664	1890
52	673	1868
53	679	1838
54	686	1810
55	693	1783
56	699	1755
57	708	1734
58	715	1710
59	723	1687
60	729	1661
61	737	1640
62	746	1623
63	756	1607
64	766	1590
65	774	1571
66	784	1557
67	791	1535
68	800	1519
69	811	1506
70	818	1486
71	824	1466
72	833	1450
73	841	1432
74	848	1413
75	854	1393
76	860	1374
77	866	1355
78	872	1337
79	879	1318
80	885	1300
81	891	1282
82	897	1265
83	903	1248
84	909	1231
85	916	1214
86	923	1198
87	928	1182
88	937	1169
89	945	1155
90	956	1145
91	966	1134
92	977	1124
93	988	1114
94	997	1102
95	1007	1091
96	1015	1078
97	1025	1067
98	1035	1056
99	1045	1045
100	1055	1035
101	1067	1025
102	1077	1014
103	1086	1002
104	1094	990
105	1100	976
106	1109	964
107	1119	953
108	1129	942
109	1137	930
110	1144	917
111	1152	905
112	1165	897
113	1177	888
114	1186	877
115	1194	865
116	1202	853
117	1209	840
118	1217	828
119	1226	817
120	1233	805
121	1240	793
122	1248	781
123	1257	770
124	1265	759
125	1272	747
126	1280	736
127	1292	727
128	1302	717
129	1313	707
130	1325	698
131	1334	687
132	1344	677
133	1352	666
134	1363	656
135	1373	646
136	1382	635
137	1392	625
138	1398	613
139	1406	602
140	1412	591
141	1420	580
142	1426	568
143	1433	557
144	1442	547
145	1450	536
146	1458	525
147	1467	515
148	1476	505
149	1487	495
150	1493	484
151	1500	473
152	1507	462
153	1513	452
154	1520	441
155	1526	430
156	1533	419
157	1539	409
158	1545	398
159	1552	388
160	1558	377
161	1565	367
162	1567	355
163	1573	345
164	1580	335
165	1586	324
166	1592	314
167	1599	304
168	1605	294
169	1611	284
170	1618	274
171	1624	264
172	1631	254
173	1640	245
174	1649	235
175	1658	226
176	1666	216
177	1673	206
178	1680	197
179	1687	187
180	1694	177
181	1701	168
182	1707	158
183	1714	149
184	1720	139
185	1726	129
186	1733	120
187	1739	111
188	1745	101
189	1751	92
190	1759	82
191	1765	73
192	1771	64
193	1778	54
194	1784	45
195	1791	36
196	1797	27
197	1803	18
198	1809	9
199	1816	0
